YEAR,MO,DY,T2M,T2MDEW,QV2M,RH2M,PRECTOTCORR,PS,WS10M
1981,2,1,14.98,11.94,8.79,82.56,5.52,100.03,3.1
1981,2,2,15.78,11.65,8.61,78.06,0.04,100.02,2.02
1981,2,3,15.36,11.64,8.54,80.38,0.75,100.07,2.3
1981,2,4,15.77,11.55,8.54,77.62,0.0,99.94,2.19
1981,2,5,16.55,11.87,8.73,76.0,0.0,100.03,2.04
1981,2,6,17.39,12.73,9.22,76.56,0.0,100.06,2.38
1981,2,7,18.31,12.51,9.16,70.88,0.0,99.75,2.93
1981,2,8,18.41,11.85,8.79,67.38,0.01,99.67,3.05
1981,2,9,17.72,10.84,8.24,66.31,0.2,99.88,2.76
1981,2,10,14.79,12.1,8.85,84.5,6.23,99.89,3.76
1981,2,11,16.1,12.68,9.28,81.75,10.98,99.52,2.36
1981,2,12,15.44,10.66,8.06,75.88,0.0,99.62,2.51
1981,2,13,15.79,10.35,7.87,72.88,0.0,99.63,2.2
1981,2,14,16.8,11.26,8.42,71.5,0.04,99.6,2.45
1981,2,15,16.9,11.3,8.42,72.25,0.0,99.52,2.7
1981,2,16,17.67,11.81,8.73,71.12,0.0,99.62,2.99
1981,2,17,18.59,11.89,8.79,67.25,0.39,99.59,2.52
1981,2,18,17.66,10.6,8.06,66.06,0.01,99.58,2.74
1981,2,19,17.26,10.53,8.0,67.38,0.0,99.72,2.52
1981,2,20,17.68,11.85,8.73,71.44,0.0,99.68,2.54
1981,2,21,18.13,12.1,8.85,70.69,0.0,99.63,2.34
1981,2,22,18.51,11.39,8.48,66.06,0.13,99.64,2.58
1981,2,23,18.14,11.29,8.42,67.44,0.01,99.78,2.87
1981,2,24,18.8,11.28,8.42,64.12,0.0,99.73,2.68
1981,2,25,18.86,11.46,8.54,65.19,0.0,99.72,2.75
1981,2,26,19.73,12.72,9.28,66.81,0.0,99.57,3.12
1981,2,27,20.6,11.8,8.73,59.25,0.06,99.5,3.02
1981,2,28,20.48,11.2,8.42,57.0,0.13,99.45,3.4
1981,3,1,21.15,12.3,9.03,59.44,0.27,99.43,4.3
1981,3,2,20.8,11.52,8.54,57.88,0.25,99.5,3.75
1981,3,3,20.03,10.47,8.0,57.69,1.14,99.76,3.79
1981,3,4,19.42,10.37,7.87,59.06,0.04,100.07,2.85
1981,3,5,20.08,11.37,8.42,60.19,0.07,100.01,2.54
1981,3,6,21.06,13.0,9.4,62.94,6.49,100.0,2.58
1981,3,7,22.15,13.19,9.52,58.69,0.1,99.89,2.53
1981,3,8,21.72,13.87,10.01,63.44,2.32,99.53,3.23
1981,3,9,22.34,13.05,9.52,57.94,0.66,99.55,3.15
1981,3,10,20.49,10.86,8.24,57.38,0.61,99.78,3.0
1981,3,11,21.13,12.76,9.34,61.25,5.25,99.71,3.02
1981,3,12,21.2,14.55,10.44,67.25,0.04,99.83,2.98
1981,3,13,21.96,14.75,10.56,65.75,0.46,99.9,2.54
1981,3,14,21.48,14.4,10.31,66.38,5.48,99.98,1.99
1981,3,15,21.11,15.48,11.05,72.69,10.83,100.07,2.52
1981,3,16,20.98,15.51,11.11,72.94,2.03,99.69,2.78
1981,3,17,21.05,14.62,10.5,68.5,0.22,99.23,3.55
1981,3,18,21.72,13.61,9.83,62.94,2.2,99.24,3.23
1981,3,19,22.22,14.29,10.31,64.38,1.44,99.4,2.67
1981,3,20,23.17,15.05,10.8,63.38,0.0,99.34,2.99
1981,3,21,22.49,15.4,11.05,65.75,0.08,99.3,2.62
1981,3,22,23.85,15.7,11.35,62.88,0.4,98.88,3.56
1981,3,23,23.3,11.06,8.42,49.88,1.31,98.85,3.79
1981,3,24,23.44,11.98,8.85,50.94,0.02,99.24,2.83
1981,3,25,22.07,12.67,9.28,57.62,0.93,99.54,2.91
1981,3,26,22.12,14.08,10.19,63.0,2.39,99.4,2.13
1981,3,27,21.24,15.9,11.41,72.88,16.51,99.33,2.23
1981,3,28,21.79,15.37,11.05,69.94,2.7,99.49,2.48
1981,3,29,22.25,15.94,11.41,70.12,2.71,99.6,2.83
1981,3,30,23.44,16.3,11.72,67.0,0.38,99.53,2.7
1981,3,31,24.3,17.83,13.0,69.06,0.83,99.14,2.26
1981,4,1,23.52,20.02,14.89,81.62,31.08,98.96,3.3
1981,4,2,23.55,16.65,12.02,67.56,0.03,99.27,2.71
1981,4,3,23.23,15.76,11.41,65.19,0.28,99.23,3.02
1981,4,4,23.92,16.33,11.84,64.69,5.54,98.96,3.02
1981,4,5,24.68,17.32,12.7,65.38,12.35,98.69,3.54
1981,4,6,24.11,13.08,9.58,52.94,14.36,98.93,3.4
1981,4,7,22.63,11.66,8.73,52.25,0.83,99.17,2.98
1981,4,8,22.61,11.97,8.85,54.56,0.01,99.28,2.82
1981,4,9,23.81,13.66,9.95,55.44,5.33,99.19,3.48
1981,4,10,23.67,15.4,11.11,62.06,16.19,99.11,4.56
1981,4,11,24.37,16.69,12.08,65.12,0.56,99.2,2.71
1981,4,12,22.44,17.25,12.45,73.69,5.9,99.51,4.69
1981,4,13,24.44,17.37,12.57,67.44,0.0,99.38,2.59
1981,4,14,26.08,18.08,13.18,63.81,0.0,99.25,2.04
1981,4,15,26.01,19.3,14.16,68.06,0.02,99.35,2.06
1981,4,16,25.29,19.15,14.04,70.0,1.19,99.19,2.51
1981,4,17,23.74,19.87,14.71,79.62,39.2,99.09,4.52
1981,4,18,23.87,20.72,15.5,83.25,5.11,99.23,1.98
1981,4,19,20.99,18.19,13.18,84.19,6.08,99.57,4.71
